fam,tf,period,mult,side,n_tr_months,total_all,mean_in_bleed,mean_normal,hedge_edge,wr_bleed,mIS,mOOS,tot_bleed,squeeze
sq,H4,40,2.5,both,120,-42420.14822763009,90.84685080248325,-443.2793209448224,534.1261717473056,0.5238095238095238,230.1368083359811,-62.372102484364405,1907.783866852148,100.0
sq,H4,40,2.5,long,120,-16912.61890737486,-7.021016098383846,-167.65177569308798,160.63075959470413,0.47619047619047616,34.702977472732194,-52.917409026611494,-147.44133806606078,100.0
sq,H4,40,2.5,short,120,-25687.01201840419,102.20837067482509,-278.3338780257552,380.54224870058033,0.5714285714285714,184.09234139522778,12.136002882382126,2146.375784171327,100.0
sq,H4,40,2.5,both,119,-43866.83311569559,72.49056014584043,-453.89134878758244,526.3819089334229,0.47619047619047616,189.23371223738675,-55.92690715486051,1522.3017630626491,200.0
sq,H4,40,2.5,long,119,-17424.788609951516,-22.526499113999698,-169.51732128557515,146.99082217157545,0.42857142857142855,26.97041808801557,-76.97310803621649,-473.05648139399364,200.0
sq,H4,40,2.5,short,119,-26890.267784248652,103.0767299513292,-290.5487911322656,393.6255210835948,0.5714285714285714,158.82316772247313,41.75564840307088,2164.611328977913,200.0
sq,D1,20,2.0,both,118,-26149.28378345382,-55.414718999300064,-249.85574684468517,194.44102784538512,0.47619047619047616,112.43374511173343,-240.04802952143692,-1163.7090989853014,50.0
sq,D1,20,2.0,long,118,-7691.971073861079,-50.52386514731266,-66.30969905767513,15.78583391036247,0.38095238095238093,125.60821723479454,-244.2691557676306,-1061.0011680935659,50.0
sq,D1,20,2.0,short,118,-18456.728454885102,-0.1163276065548243,-184.5428557514745,184.42652814491967,0.5238095238095238,-8.853295482197195,9.494337056651784,-2.4428797376513103,50.0
sq,D1,20,2.0,both,116,-25521.349099803905,-9.183909850596267,-253.28486992941376,244.10096007881748,0.47619047619047616,113.00335412645713,-143.589900225355,-192.8621068625216,100.0
