orig,instr,dir,entry_d0,year,bars_held_d0,ret_d0,mae_h4_d0,mae_m1_d0,mae_m1_8h_d0,mae_h4_d1,mae_m1_d1,mae_m1_8h_d1,d_h4,d_m1,hid_d0,hid_d1
542,EURGBP,1,2021-02-01 08:00:00+00:00,2021,16,0.0014807744050581795,-0.0019806097591847927,-0.0021021704897680182,-0.000947442746535021,-0.00554652950522716,-0.005667655899750601,-0.0029365974386124094,-0.0035659197460423675,-0.003565485409982583,-0.00012156073058322558,-0.00012112639452344087
543,USDCHF,-1,2021-02-01 08:00:00+00:00,2021,33,-0.00394351721518415,-0.010277721920593397,-0.010434122036776294,-0.001966172889156903,-0.009815223186797839,-0.009971551703999326,-0.0018871341001420738,0.0004624987337955577,0.00046257033277696813,-0.00015640011618289762,-0.00015632851720148722
544,AUDCHF,-1,2021-02-08 12:00:00+00:00,2021,12,0.006150988467461021,0.00014513848630492987,-0.00044853312373449583,-0.00023493967462440146,-0.0009342460781986972,-0.0015285585812285785,-0.0015285585812285785,-0.001079384564503627,-0.0010800254574940826,-0.0005936716100394257,-0.0005943125030298813
545,GBPUSD,-1,2021-02-09 12:00:00+00:00,2021,37,-0.00406655817679038,-0.01112323266004367,-0.01131170059693587,-0.0016998358154318716,-0.009908054693552604,-0.010096296127802162,-0.0010534672286615088,0.0012151779664910656,0.0012154044691337074,-0.00018846793689220043,-0.00018824143424955864
546,GBPJPY,-1,2021-02-14 20:00:00+00:00,2021,56,-0.0182370927782358,-0.030909683768739482,-0.032473383981832527,-0.0039483285596075834,-0.02875588529248385,-0.030316318589774793,-0.004235738127067901,0.0021537984762556306,0.002157065392057733,-0.0015637002130930444,-0.0015604332972909418
547,EURJPY,-1,2021-02-15 00:00:00+00:00,2021,15,-4.17101566680324e-05,-0.0064471818035980455,-0.007562863518834728,-0.003806105631771972,-0.005439188681962692,-0.006553753001756091,-0.002800757643098617,0.0010079931216353533,0.0010091105170786374,-0.0011156817152366827,-0.0011145643197933985
548,USDCAD,1,2021-02-16 00:00:00+00:00,2021,5,0.007921467255556758,0.0015462323471808759,-0.00014272913973967238,-0.00014272913973967238,-0.0009413726943631184,-0.0013526771930481019,-0.0013526771930481019,-0.0024876050415439943,-0.0012099480533084295,-0.0016889614869205483,-0.0004113044986849834
549,EURGBP,1,2021-02-16 00:00:00+00:00,2021,45,-0.006703811690665579,-0.0157324858440423,-0.018134418776302508,-0.0003630822344011797,-0.017143461527395543,-0.019541951219975706,-0.0025225941427773346,-0.0014109756833532439,-0.0014075324436731984,-0.002401932932260209,-0.0023984896925801635
550,GBPCHF,-1,2021-02-16 12:00:00+00:00,2021,46,-0.020362688041061762,-0.034975880822633254,-0.03862930432146672,-0.0006245374075992682,-0.03550725245811637,-0.039162551677587976,-0.0009971578740239906,-0.0005313716354831133,-0.0005332473561212581,-0.0036534234988334635,-0.0036552992194716083
551,GBPUSD,-1,2021-02-19 04:00:00+00:00,2021,28,-0.003819264398233393,-0.014164893521912303,-0.016825504675737957,-0.003737014322241272,-0.013215606253676793,-0.015873726999571458,-0.00279748784638012,0.0009492872682355102,0.0009517776761664987,-0.002660611153825654,-0.0026581207458946654
