config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
d1_emp,2018-12-20 17:14,2018-12-20 19:59,2018-12-20 19:12,Thu,19,-0.056673177309073175,-0.02048136061655037,-3.6191816692522805,1,False,
d1_emp,2023-03-08 16:30,2023-03-13 02:12,2023-03-08 18:50,Wed,18,-0.036021680396079,0.0,-3.6021680396079003,7,False,
d1_emp,2021-11-29 15:58,2021-11-30 15:59,2021-11-30 06:06,Tue,6,-0.11240742140866544,-0.07812485843271233,-3.4282562975953113,2881,True,
d1_emp,2025-07-02 12:18,2025-07-02 15:59,2025-07-02 14:26,Wed,14,-0.09888133006999922,-0.06503193881698444,-3.3849391253014782,2,False,
d1_emp,2022-10-14 14:45,2022-10-14 15:59,2022-10-14 15:00,Fri,15,-0.03373446524530255,0.0,-3.3734465245302547,2,False,
d1_emp,2019-01-24 23:47,2019-01-24 23:59,2019-01-24 23:49,Thu,23,-0.06286668553035057,-0.029370349997516088,-3.3496335532834487,1,False,
d1_emp,2022-12-14 09:42,2022-12-15 14:23,2022-12-14 20:12,Wed,20,-0.053047504386786515,-0.020450985320231707,-3.2596519066554808,4,False,
d1_emp,2024-11-22 09:11,2024-11-22 09:17,2024-11-22 09:14,Fri,9,-0.04467768621725543,-0.014377754288528055,-3.0299931928727375,10,False,
d1_emp,2023-02-27 16:32,2023-02-28 07:59,2023-02-28 07:58,Tue,7,-0.03390165201608841,-0.004310775281050727,-2.9590876735037686,2881,True,
d1_emp,2025-06-30 15:46,2025-07-01 11:59,2025-07-01 10:12,Tue,10,-0.10034810453375476,-0.07147102318608001,-2.887708134767475,2881,True,
d1_emp,2024-06-03 20:17,2024-06-06 17:46,2024-06-04 15:04,Tue,15,-0.03471153930700943,-0.006413056733572731,-2.82984825734367,2881,True,
d1_emp,2022-03-06 23:31,2022-03-07 02:09,2022-03-07 01:51,Mon,1,-0.2041407682379559,-0.17612425447470148,-2.8016513763254425,2881,True,
d1_emp,2023-12-28 09:37,2023-12-29 11:59,2023-12-28 09:44,Thu,9,-0.09474238890906728,-0.0670839426377543,-2.7658446271312975,4,False,
d1_emp,2022-12-07 10:22,2022-12-07 11:59,2022-12-07 10:51,Wed,10,-0.048425452051054974,-0.020937927348844365,-2.748752470221061,3,False,
d1_emp,2020-08-31 14:56,2020-09-01 11:59,2020-09-01 11:52,Tue,11,-0.08693762562176688,-0.05961958552052782,-2.731804010123906,2884,True,
d1_emp,2025-09-17 18:04,2025-09-17 18:22,2025-09-17 18:08,Wed,18,-0.030438521776665617,-0.003483124990857789,-2.695539678580783,2,False,
d1_emp,2022-10-18 14:51,2022-10-18 15:59,2022-10-18 15:45,Tue,15,-0.026462019534293058,0.0,-2.6462019534293058,2881,True,
d1_emp,2021-02-04 13:44,2021-02-04 15:59,2021-02-04 15:40,Thu,15,-0.05980502016907796,-0.03343063219370157,-2.637438797537639,4,False,
d1_emp,2019-08-25 22:24,2019-08-26 05:54,2019-08-26 05:09,Mon,5,-0.03245139069917735,-0.006228795985062763,-2.622259471411459,2881,True,
d1_emp,2025-06-26 08:34,2025-06-27 13:01,2025-06-26 15:57,Thu,15,-0.05780461065454412,-0.03164870323659963,-2.615590741794449,3,False,
d1_emp,2018-11-02 04:50,2018-11-02 07:27,2018-11-02 05:02,Fri,5,-0.07203022146021965,-0.04644327245037505,-2.5586949009844595,2,False,
d1_emp,2023-06-15 14:59,2023-06-15 15:59,2023-06-15 15:40,Thu,15,-0.047853631174605726,-0.022498884729990398,-2.535474644461533,3,False,
d1_emp,2018-05-29 07:35,2018-05-29 07:59,2018-05-29 07:59,Tue,7,-0.11357554465250008,-0.08839780049185575,-2.5177744160644333,2881,True,
d1_emp,2024-11-25 15:57,2024-11-26 15:37,2024-11-25 16:46,Mon,16,-0.025099078103728134,0.0,-2.5099078103728134,2881,True,
d1_emp,2022-12-01 14:50,2022-12-01 15:15,2022-12-01 14:55,Thu,14,-0.055357155884987796,-0.03064286957272888,-2.4714286312258915,2,False,
d1_emp,2022-09-30 18:43,2022-09-30 19:59,2022-09-30 19:35,Fri,19,-0.06007316458709022,-0.03544029867427578,-2.463286591281444,3,False,
