instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDNZD,2017-08-17 04:00:00+00:00,-1,1,0.24530865652986977,True,0.0052322624831912514,2.3933692748365307,4
AUDNZD,2017-08-17 04:00:00+00:00,-1,2,0.24530865652986977,True,0.0052322624831912514,2.3933692748365307,4
AUDNZD,2017-08-17 04:00:00+00:00,-1,4,0.24530865652986977,True,0.0052322624831912514,2.3933692748365307,4
AUDNZD,2017-08-17 04:00:00+00:00,-1,8,0.24530865652986977,True,0.0052322624831912514,2.3933692748365307,4
AUDNZD,2017-08-23 00:00:00+00:00,-1,1,2.1015044456437186,False,-0.013605349241439186,2.4418488222377226,59
AUDNZD,2017-08-23 00:00:00+00:00,-1,2,3.7817594506344867,False,-0.013605349241439186,2.4418488222377226,59
AUDNZD,2017-08-23 00:00:00+00:00,-1,4,4.653866334322025,False,-0.013605349241439186,2.4418488222377226,59
AUDNZD,2017-08-23 00:00:00+00:00,-1,8,4.653866334322025,False,-0.013605349241439186,2.4418488222377226,59
AUDNZD,2017-12-12 00:00:00+00:00,1,1,0.03144542463076739,True,0.007366183285538629,2.2569860706937264,12
AUDNZD,2017-12-12 00:00:00+00:00,1,2,0.08595684717389364,True,0.007366183285538629,2.2569860706937264,12
AUDNZD,2017-12-12 00:00:00+00:00,1,4,0.08595684717389364,True,0.007366183285538629,2.2569860706937264,12
AUDNZD,2017-12-12 00:00:00+00:00,1,8,0.08595684717389364,True,0.007366183285538629,2.2569860706937264,12
AUDNZD,2018-02-06 00:00:00+00:00,1,1,0.7329503858660263,True,0.008222184579758669,2.2172032821957677,12
AUDNZD,2018-02-06 00:00:00+00:00,1,2,0.946855111768104,True,0.008222184579758669,2.2172032821957677,12
AUDNZD,2018-02-06 00:00:00+00:00,1,4,0.946855111768104,True,0.008222184579758669,2.2172032821957677,12
AUDNZD,2018-02-06 00:00:00+00:00,1,8,1.3900205103124326,True,0.008222184579758669,2.2172032821957677,12
AUDNZD,2018-02-15 12:00:00+00:00,1,1,0.11349386501787836,True,0.0037512707692663725,2.2935819718203976,16
AUDNZD,2018-02-15 12:00:00+00:00,1,2,0.11349386501787836,True,0.0037512707692663725,2.2935819718203976,16
AUDNZD,2018-02-15 12:00:00+00:00,1,4,0.11349386501787836,True,0.0037512707692663725,2.2935819718203976,16
AUDNZD,2018-02-15 12:00:00+00:00,1,8,0.4122335980184372,True,0.0037512707692663725,2.2935819718203976,16
AUDNZD,2018-02-21 16:00:00+00:00,1,1,0.5062435311400575,True,0.004707995430033092,2.1056706002082897,8
AUDNZD,2018-02-21 16:00:00+00:00,1,2,0.7726597867363757,True,0.004707995430033092,2.1056706002082897,8
AUDNZD,2018-02-21 16:00:00+00:00,1,4,0.7726597867363757,True,0.004707995430033092,2.1056706002082897,8
AUDNZD,2018-02-21 16:00:00+00:00,1,8,0.7726597867363757,True,0.004707995430033092,2.1056706002082897,8
AUDNZD,2018-03-26 12:00:00+00:00,1,1,0.2706184728304347,True,0.0038777518372965585,2.27124900947476,15
AUDNZD,2018-03-26 12:00:00+00:00,1,2,0.2706184728304347,True,0.0038777518372965585,2.27124900947476,15
AUDNZD,2018-03-26 12:00:00+00:00,1,4,0.2706184728304347,True,0.0038777518372965585,2.27124900947476,15
AUDNZD,2018-03-26 12:00:00+00:00,1,8,1.8843476866113504,True,0.0038777518372965585,2.27124900947476,15
AUDNZD,2018-08-07 04:00:00+00:00,-1,1,1.1896488915344297,False,-0.0033009306732198506,2.3489166836258226,27
AUDNZD,2018-08-07 04:00:00+00:00,-1,2,2.6400612201001175,False,-0.0033009306732198506,2.3489166836258226,27
AUDNZD,2018-08-07 04:00:00+00:00,-1,4,2.6400612201001175,False,-0.0033009306732198506,2.3489166836258226,27
