er_win,er_hi,er_lo,ma_win,side,mean_in_bleed,mean_normal,hedge_edge,winrate_in_bleed,IS,OOS,total_in_bleed,total_all,persist
40,0.45,0.25,50,long,28.44047985731318,-29.681295209687978,58.12177506700115,0.42857142857142855,-14.474260122105823,75.64669383467408,597.2500770035767,-2370.879443965221,False
40,0.45,0.25,50,short,22.943728346690563,-76.03934200721878,98.98307035390934,0.47619047619047616,65.99656907344682,-24.41439645274131,481.81829528050184,-7122.1159054413765,False
40,0.45,0.25,100,both,53.15300486189309,-103.88324857444145,157.03625343633453,0.42857142857142855,54.21090007244956,51.98932013028097,1116.213102099755,-9272.111755344391,True
40,0.45,0.25,100,long,28.92963410212975,-27.79958024100224,56.729214343131986,0.42857142857142855,-13.385785917779934,75.47659612403041,607.5223161447248,-2172.4357079554993,False
40,0.45,0.25,100,short,23.431955240772453,-75.99499311235567,99.42694835312813,0.47619047619047616,65.99656907344682,-23.389119975169343,492.07106005622154,-7107.428251179346,False
40,0.45,0.25,200,both,44.71291954744759,-112.02877105742031,156.7416906048679,0.38095238095238093,28.419007859015355,62.63622240472305,938.9713104963994,-10263.905795245631,True
40,0.45,0.25,200,long,23.73386750950868,-35.3844929612713,59.118360470779976,0.38095238095238093,-29.77320730338678,82.59164980369368,498.4112176996823,-3040.0380784274475,False
40,0.45,0.25,200,short,20.281518582147328,-76.8924249472682,97.17394352941552,0.47619047619047616,56.79694582210703,-19.885451381808345,425.9118902250939,-7263.330604501725,False
40,0.55,0.25,50,both,20.038000060356094,-48.80001574329659,68.83801580365268,0.3333333333333333,25.2465468081181,14.308598637817886,420.79800126747796,-4459.203573062181,True
40,0.55,0.25,50,long,7.422400993320393,-20.51149234130373,27.933893334624123,0.23809523809523808,-22.746882894256984,40.60861326965551,155.87042085972826,-1895.2788132706446,False
40,0.55,0.25,50,short,12.438227264580963,-28.39228692731631,40.83051419189727,0.23809523809523808,47.66318669058356,-26.309228104021894,261.2027725562002,-2578.0259201754307,False
40,0.55,0.25,100,both,20.63502819624643,-48.80146003142616,69.43648822767258,0.3333333333333333,26.386327794817838,14.308598637817886,433.33559212117507,-4446.810411021441,True
40,0.55,0.25,100,long,8.019429129210732,-20.512060694035917,28.53148982324665,0.23809523809523808,-21.607101907557247,40.60861326965551,168.40801171342537,-1882.7980576901664,False
40,0.55,0.25,100,short,12.438227264580963,-28.39228692731631,40.83051419189727,0.23809523809523808,47.66318669058356,-26.309228104021894,261.2027725562002,-2578.0259201754307,False
40,0.55,0.25,200,both,20.63502819624643,-50.46563364508422,71.10066184133065,0.3333333333333333,26.386327794817838,14.308598637817886,433.33559212117507,-4613.227772387247,True
40,0.55,0.25,200,long,8.019429129210732,-21.344521332932946,29.363950462143677,0.23809523809523808,-21.607101907557247,40.60861326965551,168.40801171342537,-1966.0441215798692,False
40,0.55,0.25,200,short,12.438227264580963,-29.230903609479157,41.669130874060116,0.23809523809523808,47.66318669058356,-26.309228104021894,261.2027725562002,-2661.8875883917153,False
60,0.35,0.25,50,both,-191.32853229827091,-98.01429590340135,-93.31423639486957,0.14285714285714285,-218.48938703468164,-161.45159208821914,-4017.8991782636895,-13819.328768603824,False
60,0.35,0.25,50,long,-75.16478438588422,-29.305015274973503,-45.85976911091072,0.38095238095238093,-110.07185328404938,-36.76700859790253,-1578.4604721035685,-4508.961999600919,False
60,0.35,0.25,50,short,-117.88303158705986,-68.82861344218777,-49.05441814487209,0.2857142857142857,-109.50323644030273,-127.1008062484927,-2475.543663328257,-9358.405007547035,False
60,0.35,0.25,100,both,-179.25517474318917,-99.34585383030661,-79.90932091288256,0.19047619047619047,-206.86018975358854,-148.88965823174985,-3764.3586696069724,-13698.944052637633,False
60,0.35,0.25,100,long,-71.17768627314797,-30.82026106497504,-40.35742520817293,0.42857142857142855,-97.32306672493195,-42.41776777618561,-1494.7314117361075,-4576.757518233611,False
60,0.35,0.25,100,short,-109.99717344552941,-68.78207150700908,-41.215101938520334,0.2857142857142857,-110.65088795709033,-109.27808748281241,-2309.9406423561177,-9188.147793057025,False
60,0.35,0.25,200,both,-167.27956545231896,-105.66924172770618,-61.61032372461278,0.19047619047619047,-196.50770071333798,-135.12861666519802,-3512.870874498698,-14079.795047269316,False
60,0.35,0.25,200,long,-65.09950639571409,-32.644363511414646,-32.45514288429944,0.42857142857142855,-94.05152319395248,-33.25228791765185,-1367.0896343099957,-4631.525985451461,False
60,0.35,0.25,200,short,-103.8589254287793,-73.4462572727796,-30.412668155999697,0.2857142857142857,-103.29127179703656,-104.48334442369632,-2181.0374340043654,-9525.663161282326,False
60,0.45,0.25,50,both,-56.767212224224444,-57.726303742426296,0.959091518201852,0.23809523809523808,-41.18388748814968,-73.90886943390669,-1192.1114567087134,-6964.741830951343,False
60,0.45,0.25,50,long,-23.93937451083522,-21.7802731861485,-2.15910132468672,0.2857142857142857,-65.14965731937396,21.3919365785574,-502.7268647275396,-2680.7541833423893,False
60,0.45,0.25,50,short,-33.164991631023874,-36.233634130709724,3.0686424996858506,0.14285714285714285,22.650740175248178,-94.56229661792312,-696.4648242515013,-4319.828237322474,False
60,0.45,0.25,100,both,-47.62649026812956,-59.647259402507245,12.020769134377687,0.2857142857142857,-39.716382864694175,-56.32760841190848,-1000.1562956307207,-6964.882235881445,False
60,0.45,0.25,100,long,-23.817456083795108,-23.289054837472577,-0.5284012463225309,0.2857142857142857,-63.786443672978834,20.148430264306988,-500.16657775969725,-2829.072061506955,False
60,0.45,0.25,100,short,-24.232188539353956,-36.64143876647637,12.409250227122413,0.23809523809523808,22.650740175248178,-75.8034101254163,-508.8759593264331,-4173.01983597407,False
60,0.45,0.25,200,both,-47.62649026812956,-60.62134374828516,12.994853480155605,0.2857142857142857,-39.716382864694175,-56.32760841190848,-1000.1562956307207,-7062.290670459237,False
60,0.45,0.25,200,long,-23.817456083795108,-23.88926296768479,0.07180688388968193,0.2857142857142857,-63.786443672978834,20.148430264306988,-500.16657775969725,-2889.0928745281763,False
60,0.45,0.25,200,short,-24.232188539353956,-37.031047096643164,12.798858557289208,0.23809523809523808,22.650740175248178,-75.8034101254163,-508.8759593264331,-4211.980668990749,False
60,0.55,0.25,50,both,-44.62699284179481,-23.31156909035017,-21.31542375144464,0.09523809523809523,-17.104443468742996,-74.90179715215181,-937.1668496776911,-3268.323758712708,False
60,0.55,0.25,50,long,-33.575086883243955,-14.040766011479517,-19.534320871764436,0.09523809523809523,-24.797185668268206,-43.23077821971729,-705.0768245481231,-2109.153425696075,False
60,0.55,0.25,50,short,-11.19727319718896,-9.314142660074449,-1.8831305371145106,0.047619047619047616,7.4152229257615545,-31.671018932434528,-235.14273714096817,-1166.557003148413,False
60,0.55,0.25,100,both,-44.47685485726773,-23.337752560118425,-21.139102297149307,0.09523809523809523,-17.14635631043827,-74.54040325878013,-934.0139520026223,-3267.7892080144647,False
60,0.55,0.25,100,long,-33.611809896481645,-14.684428473181251,-18.927381423300396,0.09523809523809523,-24.839098509963318,-43.261792421651805,-705.8480078261146,-2174.2908551442397,False
60,0.55,0.25,100,short,-11.010412199424103,-8.664662279869281,-2.3457499195548213,0.047619047619047616,7.4152229257615545,-31.278610837128326,-231.21865618790616,-1097.6848841748342,False
60,0.55,0.25,200,both,-44.47685485726773,-23.337752560118425,-21.139102297149307,0.09523809523809523,-17.14635631043827,-74.54040325878013,-934.0139520026223,-3267.7892080144647,False
60,0.55,0.25,200,long,-33.611809896481645,-14.684428473181251,-18.927381423300396,0.09523809523809523,-24.839098509963318,-43.261792421651805,-705.8480078261146,-2174.2908551442397,False
60,0.55,0.25,200,short,-11.010412199424103,-8.664662279869281,-2.3457499195548213,0.047619047619047616,7.4152229257615545,-31.278610837128326,-231.21865618790616,-1097.6848841748342,False
