instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
AUDUSD,2018-12-21 00:00:00+00:00,2019-06-30 00:00:00+00:00,-1,0.7031499999999999,0.0012515110573844998,163,2.3212483843778733,0.005125565646699309
USDJPY,2018-12-24 00:00:00+00:00,2019-02-25 00:00:00+00:00,-1,110.2915,-0.006818295154205102,54,3.4932687768604644,0.004031083358052692
GBPUSD,2019-02-26 00:00:00+00:00,2019-04-19 00:00:00+00:00,1,1.325855,-0.020929890523473466,45,2.0547944982959465,0.004545643490665171
USDCHF,2019-03-07 00:00:00+00:00,2019-03-20 00:00:00+00:00,1,1.01094,-0.019744000633073976,11,1.8929111779939134,0.002531381098433752
EURUSD,2019-03-07 00:00:00+00:00,2019-06-07 00:00:00+00:00,-1,1.11977,-0.012145351277494512,79,2.58568695700249,0.0031073513257141566
USDCHF,2019-04-18 00:00:00+00:00,2019-06-03 00:00:00+00:00,1,1.01497,-0.022079470329172256,39,2.71711810244832,0.001730915980766855
NZDUSD,2019-04-24 00:00:00+00:00,2019-06-26 00:00:00+00:00,-1,0.65935,-0.013058315007203976,54,2.747033206664095,0.004302332930509067
USDJPY,2019-04-24 00:00:00+00:00,2019-05-09 00:00:00+00:00,1,112.1215,-0.020495623051778565,13,1.3244963660802618,0.001990096886808582
GBPUSD,2019-05-16 00:00:00+00:00,2019-09-19 00:00:00+00:00,-1,1.2795649999999998,0.021311930226287443,108,2.5302562773787898,0.003998158390262654
USDCAD,2019-05-29 00:00:00+00:00,2019-06-07 00:00:00+00:00,1,1.3514300000000001,-0.018883700968603576,8,1.7753770447488688,0.0020747417164650494
USDJPY,2019-05-31 00:00:00+00:00,2019-10-13 00:00:00+00:00,-1,108.2745,-0.0018933359193531907,115,2.36026266916099,0.0035490264048178457
USDCHF,2019-06-07 00:00:00+00:00,2019-09-18 00:00:00+00:00,-1,0.9873699999999999,-0.009824078106484998,88,2.536942002673318,0.002969786567100481
USDCAD,2019-06-26 00:00:00+00:00,2019-08-19 00:00:00+00:00,-1,1.31222,-0.01585100059441248,46,2.604688868248493,0.0036815354933852694
EURUSD,2019-07-26 00:00:00+00:00,2019-10-18 00:00:00+00:00,-1,1.11244,-0.004153032972564606,72,1.8841243155212901,0.002520844249999724
AUDUSD,2019-07-31 00:00:00+00:00,2019-10-30 00:00:00+00:00,-1,0.68442,-0.007758393968615763,78,2.164249661740536,0.004121642345319005
NZDUSD,2019-08-07 00:00:00+00:00,2019-11-03 00:00:00+00:00,-1,0.64478,0.001969664071466463,75,2.2582537375985066,0.00466214618934171
USDCHF,2019-10-15 00:00:00+00:00,2019-12-11 00:00:00+00:00,1,0.99861,-0.016212535424239716,49,1.4082613459702313,0.0029529041840649526
GBPUSD,2019-10-15 00:00:00+00:00,2020-02-06 00:00:00+00:00,1,1.275965,0.013307575051039694,98,2.8516528702159074,0.007005647929815479
USDJPY,2019-10-28 00:00:00+00:00,2020-01-03 00:00:00+00:00,1,108.98049999999999,-0.00859786842600284,58,1.5732868426057702,0.0023940707977824424
NZDUSD,2019-12-02 00:00:00+00:00,2020-01-30 00:00:00+00:00,1,0.64975,-0.0023393612928051125,51,2.5376462781780775,0.004354773445266022
EURUSD,2019-12-12 00:00:00+00:00,2020-01-29 00:00:00+00:00,1,1.11836,-0.01520977145105334,41,2.025569719931768,0.002437859813707609
AUDUSD,2019-12-12 00:00:00+00:00,2020-01-29 00:00:00+00:00,1,0.6925600000000001,-0.0249797851449696,41,2.1141953116641217,0.0037105843344712067
USDCHF,2019-12-27 00:00:00+00:00,2020-02-18 00:00:00+00:00,-1,0.97405,-0.009404034700477504,45,2.288105629671504,0.0025988339567812485
USDCAD,2019-12-31 00:00:00+00:00,2020-02-03 00:00:00+00:00,-1,1.2984700000000002,-0.023958967092038916,29,2.97154530832953,0.0020506888881432917
USDJPY,2020-01-13 00:00:00+00:00,2020-03-01 00:00:00+00:00,1,110.01350000000001,-0.021297386229871693,41,2.041841654257323,0.0034049859053666685
AUDUSD,2020-01-30 00:00:00+00:00,2020-05-20 00:00:00+00:00,-1,0.67048,0.016958000238634856,95,2.6620585505763574,0.0031396808904182597
EURUSD,2020-02-05 00:00:00+00:00,2020-03-05 00:00:00+00:00,-1,1.1,-0.020245454545454584,25,2.021703982942606,0.002360107680367723
USDCAD,2020-02-09 00:00:00+00:00,2020-05-26 00:00:00+00:00,1,1.3312,0.03544170673076939,92,1.9998692316608357,0.001754728202691514
