instr,entry,dir,exit_kind,bar_at,bars_base,ret_base,ret_limit
AUDCHF,2016-10-18 00:00:00+00:00,-1,limit,15,21,0.0008467066948616941,0.0021076447684690884
AUDCHF,2016-12-09 08:00:00+00:00,-1,limit,17,21,0.006983770290546117,0.005771164559959813
AUDCHF,2016-12-30 20:00:00+00:00,1,limit,7,7,0.004913744341519278,0.004719553852086098
AUDCHF,2017-02-22 04:00:00+00:00,-1,limit,13,13,0.008730380828285747,0.004971842492898226
AUDCHF,2017-03-27 04:00:00+00:00,1,limit,9,10,0.00971064329908135,0.007300844591986979
AUDCHF,2017-04-19 00:00:00+00:00,1,limit,15,19,0.0032185092537690566,0.0033760435580974194
AUDCHF,2017-04-28 08:00:00+00:00,1,limit,6,6,0.008985897924603093,0.0072246138999585725
AUDCHF,2017-05-17 00:00:00+00:00,1,limit,26,27,0.0006560406102809398,0.000723433766612567
AUDCHF,2017-07-27 00:00:00+00:00,-1,limit,31,32,-0.002218930672058126,-0.0052740747945277935
AUDCHF,2017-09-20 12:00:00+00:00,-1,limit,6,6,0.008115696114931823,0.0052199866461856825
AUDCHF,2017-11-14 12:00:00+00:00,1,limit,30,30,-0.0036987984734678835,-0.005134403831973378
AUDCHF,2018-01-11 04:00:00+00:00,-1,limit,2,7,0.00948520818330145,0.005681952484273546
AUDCHF,2018-02-01 08:00:00+00:00,1,limit,45,46,-0.012958847826498343,-0.014046614338436484
AUDCHF,2018-04-13 00:00:00+00:00,-1,limit,31,32,-0.0007865525268700581,-0.0018242202827056387
AUDCHF,2018-06-04 12:00:00+00:00,-1,limit,5,6,0.007459297851849767,0.006578346005026058
AUDCHF,2018-06-14 04:00:00+00:00,1,limit,2,57,-0.012235398831973911,0.006449183840959288
AUDCHF,2018-07-02 12:00:00+00:00,1,limit,4,4,0.0053538128650712485,0.004240126668845753
AUDCHF,2018-08-23 04:00:00+00:00,1,limit,8,11,0.005414524323909302,0.004158449505682797
AUDCHF,2018-08-29 12:00:00+00:00,1,limit,54,62,-0.02127742871587825,-0.021382819260425595
AUDCHF,2018-09-17 20:00:00+00:00,1,limit,1,1,0.005754470363528877,0.0052995627985652875
AUDCHF,2018-10-30 12:00:00+00:00,-1,limit,52,54,-0.01691678956215578,-0.016851983391012675
AUDCHF,2018-11-15 04:00:00+00:00,-1,limit,14,14,0.007605435087286282,0.0026704516786443078
AUDCHF,2018-12-24 12:00:00+00:00,1,limit,11,11,0.00842087027027509,0.0070634291935699626
AUDCHF,2019-03-21 20:00:00+00:00,1,limit,14,15,0.004354094616796204,0.002179302894108732
AUDCHF,2019-05-15 04:00:00+00:00,1,limit,18,18,0.0038250879272724463,0.003634344827079896
AUDCHF,2019-05-24 00:00:00+00:00,1,limit,6,6,0.004104349440497987,0.004158228988171936
AUDCHF,2019-08-25 20:00:00+00:00,1,limit,3,3,0.015549709590920176,0.012515735528038476
AUDCHF,2019-10-31 00:00:00+00:00,-1,limit,2,3,0.005075384770051948,0.004304303382811964
AUDCHF,2020-02-26 08:00:00+00:00,1,limit,31,34,-0.010211500879166066,-0.01105710232748503
AUDCHF,2020-03-18 16:00:00+00:00,1,limit,5,9,0.035870043058960834,0.03453686067740098
AUDCHF,2020-04-29 00:00:00+00:00,-1,limit,11,11,0.012134295349794,0.010546943139710458
AUDCHF,2020-10-16 08:00:00+00:00,1,limit,27,27,-0.0034342156363694745,-0.004155060834120118
AUDCHF,2020-11-24 08:00:00+00:00,-1,limit,7,14,0.0037171508837980324,0.00413086243625804
AUDCHF,2020-12-31 08:00:00+00:00,-1,limit,8,8,0.007960729452531122,0.006044195971737148
AUDCHF,2021-02-08 12:00:00+00:00,-1,limit,11,12,0.006148222918814413,0.0063072340876105595
AUDCHF,2021-02-19 04:00:00+00:00,-1,limit,30,31,-0.014033635544814148,-0.018235873068473858
AUDCHF,2021-03-11 04:00:00+00:00,-1,limit,14,14,0.004538419071678134,0.004395687679359999
AUDCHF,2021-04-30 12:00:00+00:00,1,limit,7,8,0.003908788762699635,0.004066371464059378
AUDCHF,2021-06-03 12:00:00+00:00,1,limit,6,6,0.0046475850867944545,0.00206423417464841
AUDCHF,2021-07-19 08:00:00+00:00,1,limit,18,18,0.0018680954353484124,0.00125681055330384
AUDCHF,2021-07-30 08:00:00+00:00,1,limit,12,18,0.004787688518527745,0.0033463098319303033
AUDCHF,2021-11-26 00:00:00+00:00,1,limit,44,44,-0.02083355218932903,-0.021203264939825654
AUDCHF,2022-02-23 04:00:00+00:00,-1,limit,4,5,0.011173104005592748,0.005775460724039462
AUDCHF,2022-03-02 16:00:00+00:00,-1,limit,25,46,-0.011089097639480346,-0.0039010738101233943
AUDCHF,2022-03-16 16:00:00+00:00,-1,limit,55,58,-0.018147160800730075,-0.01797581391818348
AUDCHF,2022-05-12 08:00:00+00:00,1,limit,7,7,0.012984335864475978,0.011662076281920756
AUDCHF,2022-06-29 08:00:00+00:00,1,limit,19,19,0.00674840970638957,0.0031888458346488696
AUDCHF,2022-09-07 20:00:00+00:00,1,limit,50,50,-0.01641191721806274,-0.016637041571148092
AUDCHF,2022-09-22 00:00:00+00:00,1,limit,1,1,0.014688158215929772,0.013263382259022018
AUDCHF,2022-09-27 12:00:00+00:00,1,limit,23,23,-0.0016086656460293882,-0.0018902295656013767
AUDCHF,2022-10-12 04:00:00+00:00,1,limit,9,10,0.013483923478793848,0.012128969030607836
AUDCHF,2022-12-20 12:00:00+00:00,1,limit,9,9,0.011112844357558748,0.010185603283975941
AUDCHF,2023-01-12 16:00:00+00:00,-1,limit,17,17,0.010538076566111856,0.006695375009827663
AUDCHF,2023-01-25 00:00:00+00:00,-1,limit,25,25,0.0062372772996761505,0.005064972174006836
AUDCHF,2023-04-26 00:00:00+00:00,1,limit,19,19,0.006977207649528303,0.00554850872184404
AUDCHF,2023-07-18 04:00:00+00:00,1,limit,13,13,0.004168358523275454,0.0033486325182556054
AUDCHF,2023-08-11 12:00:00+00:00,1,limit,11,42,-0.006746279445678965,0.0033747255268815985
AUDCHF,2023-09-20 08:00:00+00:00,-1,limit,4,4,0.007906043749244036,0.007177448723614285
AUDCHF,2023-09-29 00:00:00+00:00,-1,limit,8,8,0.00895797102120093,0.005968173330783456
AUDCHF,2024-02-01 04:00:00+00:00,1,limit,18,19,0.0023370600286721213,0.0021817977419533677
AUDCHF,2024-03-08 04:00:00+00:00,-1,limit,15,16,0.004015152892021546,0.004154835475130994
AUDCHF,2024-04-04 00:00:00+00:00,-1,limit,9,28,0.0003081999145804023,0.0034052355382563583
AUDCHF,2024-05-15 12:00:00+00:00,-1,limit,32,32,-0.004479263813630207,-0.00450150495009704
AUDCHF,2024-12-18 20:00:00+00:00,1,limit,23,28,0.003104502426772704,0.003598656922224385
AUDCHF,2025-02-10 00:00:00+00:00,-1,limit,19,20,0.00437304871014868,-1.0264159660302674e-05
AUDCHF,2025-09-11 12:00:00+00:00,-1,limit,17,17,0.003507939315679377,0.0026721299614536898
AUDCHF,2025-12-04 16:00:00+00:00,-1,limit,27,27,0.0011795776187759834,-0.0033999129634928772
AUDCHF,2026-01-15 12:00:00+00:00,-1,limit,6,8,0.0038340206260657973,0.0034512928096638792
AUDCHF,2026-02-11 12:00:00+00:00,-1,limit,7,8,0.0061126666914487265,0.006200424045834103
AUDCHF,2026-03-11 00:00:00+00:00,-1,limit,13,15,0.007620403205570551,0.006510125461275524
AUDCHF,2026-04-16 04:00:00+00:00,-1,limit,11,11,0.004069313788886653,0.0036924464151308926
AUDNZD,2016-09-01 12:00:00+00:00,1,limit,9,15,0.002837663176396958,0.00314874322995259
AUDNZD,2016-10-12 08:00:00+00:00,-1,limit,10,18,0.004737271081268089,0.006069263018310385
AUDNZD,2016-11-21 12:00:00+00:00,1,limit,10,10,0.01064782354681044,0.00843832832439924
AUDNZD,2016-12-29 16:00:00+00:00,1,limit,8,9,0.004891808955667295,0.004016093270839311
AUDNZD,2017-02-22 00:00:00+00:00,-1,limit,6,6,0.005874046897597612,0.002562380132946296
AUDNZD,2017-03-06 08:00:00+00:00,-1,limit,65,66,-0.011883954774961226,-0.013294051873067397
AUDNZD,2017-05-09 00:00:00+00:00,1,limit,11,11,0.011036426325062496,0.0060448962576471815
AUDNZD,2017-05-23 20:00:00+00:00,1,limit,53,55,-0.016984470561697534,-0.016507265255682517
AUDNZD,2017-08-08 12:00:00+00:00,-1,limit,8,8,0.004925595380376542,0.004635888750841155
AUDNZD,2017-08-10 04:00:00+00:00,-1,limit,11,15,0.006194662823730264,0.006745061894514696
AUDNZD,2017-08-17 04:00:00+00:00,-1,limit,4,4,0.005230776931010018,0.0051720576168711105
AUDNZD,2017-08-23 00:00:00+00:00,-1,limit,27,59,-0.013601666596889331,-0.0031435610219523666
AUDNZD,2017-12-12 00:00:00+00:00,1,limit,12,12,0.0073682471208575545,0.006293721778081272
AUDNZD,2018-02-06 00:00:00+00:00,1,limit,12,12,0.00822450272076024,0.006813011863941521
